order_id,seller_id,marketing_channel,business_segment,total_items_sold,total_order_revenue,capped_delay_days,revenue_at_risk,actual_review_score,predicted_bad,keyword_agor,keyword_aguard,keyword_aind,keyword_compr,keyword_entreg,keyword_loj,keyword_nao,keyword_outr,keyword_pag,keyword_ped,keyword_praz,keyword_quer,keyword_receb,keyword_sit,keyword_troc
0005f50442cb953dcd1d21e1fb923495,ba143b05f0110f0dc71ad71b4466ce92,paid_search,books,1.00,53.99,0.00,0.00,4.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001ac194d4a326a6fa99b581e9a3d963,ffc470761de7d0232558ba5e786e57b7,unknown,construction_tools_house_garden,1.00,54.00,0.00,0.00,5.00,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0029f17cf0e7640c5cb6825af681303f,d3dcf0604eabf0224fbd5948b5e02f69,unknown,music_instruments,1.00,94.90,0.00,0.00,5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00335f75ea6a4455b524a8dd177067f5,70c27847eca8195c983ed7e798c56743,social,pet,1.00,168.80,0.00,0.00,5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00345f338696283410b7977d2e3efc89,516e7738bd8f735ac19a010ee5450d8d,paid_search,health_beauty,1.00,48.90,0.00,0.00,5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003822434f91204da0a51fe4cf2aba18,c54679b132454625907c773d273d4126,paid_search,health_beauty,2.00,138.00,0.00,0.00,5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00404fa7a687c8c44ca69d42695aae73,7d13fca15225358621be4086e1eb0964,unknown,watches,1.00,99.90,0.00,0.00,5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
004b62108b876867938746ad3154167f,c70c1b0d8ca86052f45a432a38b73958,paid_search,health_beauty,1.00,110.32,0.00,0.00,5.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
00526a9d4ebde463baee25f386963ddc,7210cd29727d674c00741e5e387b3ccd,social,car_accessories,4.00,135.56,1.00,135.56,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
006127b8b9a1681a982313ed7129c3c0,7d13fca15225358621be4086e1eb0964,unknown,watches,1.00,540.00,0.00,0.00,5.00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0094bd07f49fed90209ffa62d1ef26d6,5670f4db5b62c43d542e1b2d56b0cf7c,paid_search,health_beauty,1.00,11.53,2.00,23.06,1.00,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0097aafe2a01dd54e39888976160c377,56e361f411e38dcef17cdc2a3d99628b,organic_search,audio_video_electronics,1.00,62.00,0.00,0.00,4.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00ae7a8b4936674ebb701d4a23719a79,bf0d50a6410d487dc97d2baac0a8c0be,organic_search,home_decor,1.00,27.90,0.00,0.00,2.00,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
00b2d2f2b5f7b98e6b1828764660134e,7d13fca15225358621be4086e1eb0964,unknown,watches,1.00,146.01,0.00,0.00,4.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00b4c651133c06fb175123a492f1cac3,6a38087bc8ad4f89ff453561005f6dea,referral,computers,1.00,158.90,0.00,0.00,4.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
00ba57ae98928df6ba6ec9d3d8d4b1b7,bce6a5ecf98e99fd2a8868b15c51f04b,paid_search,watches,1.00,130.00,0.00,0.00,5.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
00cf2b04c59f0ecaf822bf3f334d5c3b,7d13fca15225358621be4086e1eb0964,unknown,watches,1.00,320.00,0.00,0.00,5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00e365f4fc03d1098841af23d05c17a6,7d13fca15225358621be4086e1eb0964,unknown,watches,1.00,175.00,0.00,0.00,5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00faa6afcde74aaa630e1d2fda2bb0f7,7d7866a99a8656a42c7ff6352a433410,organic_search,household_utilities,1.00,22.50,0.00,0.00,5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011c899816ea29773525bd3322dbb6aa,7d13fca15225358621be4086e1eb0964,unknown,watches,1.00,99.90,0.00,0.00,2.00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
013a98b3a668bcef05b98898177f6923,8a432f4e5b471f8da497d7dc517666e2,organic_search,bed_bath_table,1.00,63.00,0.00,0.00,3.00,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
013aa6ba5077072401773f83f1ee6408,db2956745b3a8e9f3785c99f34b5d25e,unknown,audio_video_electronics,1.00,159.00,0.00,0.00,2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
014a0793ab3d930d6f3b206cee474af4,18e694e0e48ed6f7aa3f24aade5fd697,unknown,computers,1.00,19.90,0.00,0.00,5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0170e40334131d971605ae70efb33e4f,18e694e0e48ed6f7aa3f24aade5fd697,unknown,computers,1.00,19.00,0.00,0.00,5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01787af385123b93ba50c5f05530ee12,da7039f29f90ce5b4846ffc0fcc93beb,organic_search,audio_video_electronics,2.00,99.60,0.00,0.00,5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0194686a55eb0a869321fb107f4d114a,dc64d75cc406bb0697be983831430e60,organic_search,audio_video_electronics,1.00,195.00,0.00,0.00,5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01a15ee6a1b9050e7678b72cb4c3b486,65febd49fd28ec955651299159b1f527,organic_search,household_utilities,1.00,139.99,0.00,0.00,3.00,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
01b2dd042de98a15b6a9a141bf71c344,cac876b37d3abcd6bd76caca30277996,paid_search,home_decor,1.00,79.90,0.00,0.00,5.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01c1644529b18608f086d2ff0f3b8181,ba143b05f0110f0dc71ad71b4466ce92,paid_search,books,1.00,103.99,0.00,0.00,4.00,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
