"mql_id","marketing_channel","seller_id","business_segment","total_items_sold","total_order_revenue","order_id","logistical_delay_days","final_review_score","review_message"
cfccca319397a5ea2bb11bd90b0d925d,paid_search,ba143b05f0110f0dc71ad71b4466ce92,books,1,53.99,"0005f50442cb953dcd1d21e1fb923495",-18.0,4,
"115f08592f4c2bb29013efbbc46608fc",unknown,ffc470761de7d0232558ba5e786e57b7,construction_tools_house_garden,1,54.00,"001ac194d4a326a6fa99b581e9a3d963",-4.0,5,Entregaram do prazo 
"31aa9651503a33c7f28f2a6e4d46b6e0",unknown,d3dcf0604eabf0224fbd5948b5e02f69,music_instruments,1,94.90,"0029f17cf0e7640c5cb6825af681303f",-11.0,5,
fc4166d1b1e192f650ee2d807b54c943,social,"70c27847eca8195c983ed7e798c56743",pet,1,168.80,"00335f75ea6a4455b524a8dd177067f5",-24.0,5,
e0bcbf50b9afa71ee130b94dfe8bcf2e,paid_search,"516e7738bd8f735ac19a010ee5450d8d",health_beauty,1,48.90,"00345f338696283410b7977d2e3efc89",-11.0,5,
"428a96d781ccb96d757bbf82f8242d95",paid_search,c54679b132454625907c773d273d4126,health_beauty,2,138.00,"003822434f91204da0a51fe4cf2aba18",-30.0,5,
"0b97be8b4b408a3a0780a32e0a143a7f",unknown,"7d13fca15225358621be4086e1eb0964",watches,1,99.90,"00404fa7a687c8c44ca69d42695aae73",-5.0,5,
"7b6ad2297d3beb569ddf3ee1ce22ffa8",paid_search,c70c1b0d8ca86052f45a432a38b73958,health_beauty,1,110.32,"004b62108b876867938746ad3154167f",-5.0,5,Chegou corretamente e antes do prazo! 
d4db78e389387c2d6f0b5404cbc61fc5,social,"7210cd29727d674c00741e5e387b3ccd",car_accessories,4,135.56,"00526a9d4ebde463baee25f386963ddc",1.0,1,Eu comprei 4 agaveas so veio uma
"0b97be8b4b408a3a0780a32e0a143a7f",unknown,"7d13fca15225358621be4086e1eb0964",watches,1,540.00,"006127b8b9a1681a982313ed7129c3c0",-5.0,5,"vou comprar de novo , gostei e é excelente os produtos obrigado!"
"2fdef625a264874c1a4081ca24dd479d",paid_search,"5670f4db5b62c43d542e1b2d56b0cf7c",health_beauty,1,11.53,"0094bd07f49fed90209ffa62d1ef26d6",2.0,1,Comprei o rímel tango de embalagem vermelha e recebi outro produto. Entrei em contato com a lannister solicitando informações para a troca e até agora ninguém respondeu.
"48a8b46e7ea342b913b50c7087f78162",organic_search,"56e361f411e38dcef17cdc2a3d99628b",audio_video_electronics,1,62.00,"0097aafe2a01dd54e39888976160c377",0.0,4,
fb24fdefb6d2dd80651f6c1a87bc0d7f,organic_search,bf0d50a6410d487dc97d2baac0a8c0be,home_decor,1,27.90,"00ae7a8b4936674ebb701d4a23719a79",,2,Não recebi o produto ainda
"0b97be8b4b408a3a0780a32e0a143a7f",unknown,"7d13fca15225358621be4086e1eb0964",watches,1,146.01,"00b2d2f2b5f7b98e6b1828764660134e",-14.0,4,"RELOGIO LINDO ,POREM ELE É PEQUENO ,ESTOU ACOSTUMADA COM RELOGIOS TIPO FAUSTAO RS ,MAS ESSE BEM LEVE ,SÓ QUE VEIO CAIXA DE PAPEL BEM INFERIOR POR SER CASIO "
"99fc32e3c05e03597a692c4fd9a9d162",referral,"6a38087bc8ad4f89ff453561005f6dea",computers,1,158.90,"00b4c651133c06fb175123a492f1cac3",-4.0,4,Entrega muito rápida.
"6fd8a9e989f62bd98e7d20c2f81b1519",paid_search,bce6a5ecf98e99fd2a8868b15c51f04b,watches,1,130.00,"00ba57ae98928df6ba6ec9d3d8d4b1b7",-13.0,5,"Chegou bem antes do prazo, o relógio é lindo!"
"0b97be8b4b408a3a0780a32e0a143a7f",unknown,"7d13fca15225358621be4086e1eb0964",watches,1,320.00,"00cf2b04c59f0ecaf822bf3f334d5c3b",-6.0,5,
"0b97be8b4b408a3a0780a32e0a143a7f",unknown,"7d13fca15225358621be4086e1eb0964",watches,1,175.00,"00e365f4fc03d1098841af23d05c17a6",-11.0,5,Ótimo produto
cdd41e8e7e609526df11a959b953cc0d,organic_search,"7d7866a99a8656a42c7ff6352a433410",household_utilities,1,22.50,"00faa6afcde74aaa630e1d2fda2bb0f7",-13.0,5,
"0b97be8b4b408a3a0780a32e0a143a7f",unknown,"7d13fca15225358621be4086e1eb0964",watches,1,99.90,"011c899816ea29773525bd3322dbb6aa",-8.0,2,"Recebi o produto numa embalagem de papel, geralmente esses relógios vem numa embalagem de materiais duro etc, fiquei com medo de ser falsificado. "
"384008daaa0f14b58912d8648101fdd0",organic_search,"8a432f4e5b471f8da497d7dc517666e2",bed_bath_table,1,63.00,"013a98b3a668bcef05b98898177f6923",-30.0,3,"os produtos comparados form entregues antes do prazo.
Mas o valor do frete esta muito alto."
e84d3444422cda735543114cf5df6b95,unknown,db2956745b3a8e9f3785c99f34b5d25e,audio_video_electronics,1,159.00,"013aa6ba5077072401773f83f1ee6408",-4.0,2,
"3461d99a30c72933c66cac4f1c02bd14",unknown,"18e694e0e48ed6f7aa3f24aade5fd697",computers,1,19.90,"014a0793ab3d930d6f3b206cee474af4",-35.0,5,
"3461d99a30c72933c66cac4f1c02bd14",unknown,"18e694e0e48ed6f7aa3f24aade5fd697",computers,1,19.00,"0170e40334131d971605ae70efb33e4f",-13.0,5,
cbcb32994827a5c4ef1b8a630a4fa66e,organic_search,da7039f29f90ce5b4846ffc0fcc93beb,audio_video_electronics,2,99.60,"01787af385123b93ba50c5f05530ee12",-11.0,5,
"1c69de363482d0cbc9b6da97cb49757a",organic_search,dc64d75cc406bb0697be983831430e60,audio_video_electronics,1,195.00,"0194686a55eb0a869321fb107f4d114a",-3.0,5,
"39ecc5282d4511dca4c757113e1312d1",organic_search,"65febd49fd28ec955651299159b1f527",household_utilities,1,139.99,"01a15ee6a1b9050e7678b72cb4c3b486",-23.0,3,Primeiro pedido veio o produto quebrado. Estou aguardando a troca.
"30c5ba4650eee4a5550cdfa16fb4f195",paid_search,cac876b37d3abcd6bd76caca30277996,home_decor,1,79.90,"01b2dd042de98a15b6a9a141bf71c344",-11.0,5,"Chegou antes do prazo, produto igual descrição. Lindo !!!"
cfccca319397a5ea2bb11bd90b0d925d,paid_search,ba143b05f0110f0dc71ad71b4466ce92,books,1,103.99,"01c1644529b18608f086d2ff0f3b8181",-26.0,4,"Ótimo, entregar no prazo."
acc0e9c96173c579c90c05de205a2b63,unknown,"9c7fd21e0aa159b20da593371f08ff7c",audio_video_electronics,1,60.00,"01cce1175ac3c4a450e3a0f856d02734",-15.0,2,Recebi metade dos produtos
"98826328c3a60215e53b342560084571",other,f46490624488d3ff7ce78613913a7711,health_beauty,1,34.00,"01d2fc3e47376926a97ae795036db093",-5.0,1,"Minha progressiva chegou violada, além não estar lacrada veio com a quantidade de produto à menos, faltando mais ou menos 200 ml."
"98826328c3a60215e53b342560084571",other,f46490624488d3ff7ce78613913a7711,health_beauty,1,69.90,"01d90c5856f7551e108f2a0864ff6e54",-10.0,1,"Meu produto chegou incompleto,faltou um produto, o whaite. Estou muito chateada."
"115f08592f4c2bb29013efbbc46608fc",unknown,ffc470761de7d0232558ba5e786e57b7,construction_tools_house_garden,1,24.98,"01e662008f03009eb9b97f9333fcd6b4",-5.0,3,
"796e2f57fd87b9b44251e692e269f0bf",paid_search,"594f9aaa48e5bf431f011ddc5669b0d5",bags_backpacks,1,135.90,"01eaa000fe5c9f80f535c3d0cad25a47",-10.0,4,
bd47dc58209bc820d555f935bf055e40,paid_search,"77a515caa36327151d1cc6c32a9f00e1",stationery,1,59.90,"01f48b2a27229e667db384b5b9d5dfa4",-9.0,5,Fiz o pedido em uma quarta feira e recebi na sexta. Recomendo.
"8d6be534a8bdd08e11efe57c6ce3dd21",organic_search,"6061155addc1e54b4cfb51c1c2a32ad8",pet,1,1240.00,"02014f2495eef0e869616829d481d743",-7.0,5,Recebi antes do prazo!!! Bem embalado!
"3de2f5d6b216073b662a9e202fb4b556",unknown,f22a247b79dd22ecd91dc8e3b2a1b07c,health_beauty,1,24.99,"02036bc298ab3c1efc98b116f420d646",-13.0,5,
c92c413cead7d8b67a89850ba352e1d1,display,c092292535a57dacd95a8765f5518f87,construction_tools_house_garden,1,125.00,"020f04b3da1d597b9a00b825762299ba",-16.0,5,Recebido antes do prazo e em perfeitas condições. 
"7b6ad2297d3beb569ddf3ee1ce22ffa8",paid_search,c70c1b0d8ca86052f45a432a38b73958,health_beauty,2,220.64,"029b1d3a355dec12cfed60927f076a9d",-21.0,4,"Correu todo como esperado. O que foi ridículo, foi entregue os 4 produtos ( caixinhas 5x7) em 4 caixas grandes de 15x10. Todos da mesma loja.

"
"2dfbe1c802c78a8b1f75ef13b70c1124",organic_search,"382229d1e840115ffe3dbf5ff460e417",household_utilities,1,29.90,"029b2daf51dda061aeb1cf32c9306db7",-19.0,5,
"8d6be534a8bdd08e11efe57c6ce3dd21",organic_search,"6061155addc1e54b4cfb51c1c2a32ad8",pet,1,19.00,"02c9fa29186a8d00b3e73d3837ea40e5",-21.0,1,
"796e2f57fd87b9b44251e692e269f0bf",paid_search,"594f9aaa48e5bf431f011ddc5669b0d5",bags_backpacks,1,135.90,"02cb7027f3074adf1407706d712298f7",-5.0,4,
"081c243a74472af67b65145cff5221c7",paid_search,"58f1a6197ed863543e0136bdedb3fce2",fashion_accessories,1,139.00,"02ed129a369c56d40549270ac5900864",-21.0,5,
ab65e1a4d850fa15d38469a1ad02ce90,organic_search,ffad1e7127fb622cb64a900751590acd,home_decor,1,102.50,"03368cf33950e57f7da415d43f792e0d",-26.0,4,
"384b5bdbe32117213b87f8f5e0604be4",unknown,"2cb98e27ce1c18abdb42209b34c382a7",car_accessories,1,62.49,"03481652329171ff571df2c58bae0167",-15.0,4,A loja trabalhou bem e a entrega ocorreu antes do prazo!
cfccca319397a5ea2bb11bd90b0d925d,paid_search,ba143b05f0110f0dc71ad71b4466ce92,books,1,37.50,"034fe9142b806fe19c1cbc1c752ab08d",-6.0,4,"Só foi feita uma tentativa de entrega, tive que retirar no correio e em um prazo também bem apertado "
abcbe3ee8523b90b416337f0abd94a53,paid_search,"6bd503a8230299c9316fb0f726933927",health_beauty,1,53.80,"036c6f5c3d6a81192f4896ddb2c00c83",-12.0,5,
e9631bea70bc3ae4018bff0eac2c0986,social,"5b0cc932433fa5184b5b94bfe6bcc256",home_decor,1,99.00,"03720fdc92032ee4abd471d172006ab0",4.0,2,
"7b6ad2297d3beb569ddf3ee1ce22ffa8",paid_search,c70c1b0d8ca86052f45a432a38b73958,health_beauty,1,110.32,"037ce5266460af220f19d497b130e737",-6.0,3,"Pedi a devolução, pois o produto veio errado"
"186f0892f13de5443c0b6d042a6ddde0",organic_search,d566c37fa119d5e66c4e9052e83ee4ea,sports_leisure,2,73.80,"037f4f91c8f5cd2a6ddd52a63d97fdcc",-8.0,5,"Ainda não instalei, vamos ver o acabamento é muito bom!"
a562fd35af2738ce6d88f785ef4eb134,paid_search,b16d3dadc47d4eb18be3d88bad0775ce,sports_leisure,1,189.00,"038862523957395d9316afa8b8b70976",-11.0,4,
"7ac6d80c42fdb4020030b1cb9ed708f5",unknown,cfe94489ddd337d1e29e12f2a7205d10,construction_tools_house_garden,1,99.00,"039df018e03e7c5db83bace2fa6af002",-3.0,5,
e0bcbf50b9afa71ee130b94dfe8bcf2e,paid_search,"516e7738bd8f735ac19a010ee5450d8d",health_beauty,1,65.00,"03a54d3b0f15ac01bad656997420d3bb",-19.0,5,Parabens nao tenho nada a reclamar !
"0d8b45d95dc4bd9712dc67f87db79a8e",paid_search,"4f0d637c1197fd65405ebd755ac9f86b",health_beauty,1,89.90,"03a77816f8b67ef237ecca2c772c4851",-22.0,5,
"8257329475414b1eaf3dc731440e01a7",organic_search,ba90964cff9b9e0e6f32b23b82465f7b,small_appliances,1,1999.00,"03b31f549c27d03bed25fc42ddb46138",-18.0,5,
"8257329475414b1eaf3dc731440e01a7",organic_search,ba90964cff9b9e0e6f32b23b82465f7b,small_appliances,1,858.90,"03b70c61372aebf257ccfacc6ca0aa58",-12.0,5,entrega rapida e direito
"0b97be8b4b408a3a0780a32e0a143a7f",unknown,"7d13fca15225358621be4086e1eb0964",watches,1,144.00,"03be2f620301ed720f761e04f00270d4",-13.0,4,"Boa loja, s[o a entrega que poderia ser mais rápida."
"0b97be8b4b408a3a0780a32e0a143a7f",unknown,"7d13fca15225358621be4086e1eb0964",watches,1,467.00,"03bf6a245a6dfdc3cea6bb75ae4fa3d7",6.0,1,Ainda não recebi o produto que esta parado em São Gonçalo desde do dia 29/03/2018.
cfccca319397a5ea2bb11bd90b0d925d,paid_search,ba143b05f0110f0dc71ad71b4466ce92,books,1,57.49,"03d6e874e44c091359a3ad62f2bec233",-5.0,5,
d1d35acfd20d413bbda1eae8e208f0b5,paid_search,b64d51f0435e884e8de603b1655155ae,household_utilities,1,12.99,"03dffd456132253d009d20fc4a228c9b",-5.0,5,Excelente custo benefício.
"119ce5d79e3c006a9e46967bff271cb2",organic_search,b494891378bd8f4560abe576c52deacd,health_beauty,1,119.90,"03e5d6a8dd520898f86f8429ccd07c21",,3,
cdd41e8e7e609526df11a959b953cc0d,organic_search,"7d7866a99a8656a42c7ff6352a433410",household_utilities,1,24.90,"03ef5dedbe7492bdae72eec50764c43f",-3.0,3,
"796e2f57fd87b9b44251e692e269f0bf",paid_search,"594f9aaa48e5bf431f011ddc5669b0d5",bags_backpacks,2,311.80,"03f51c9adce893f63936c5146701aa2f",-25.0,4,o tempo de entrega foi menor que o esperado!
"7b6ad2297d3beb569ddf3ee1ce22ffa8",paid_search,c70c1b0d8ca86052f45a432a38b73958,health_beauty,2,220.64,"03ff7f74352df18b6a9a261d68befe5e",-6.0,3,"Fiz essa compra e recebi meu pedido em dois dias separados, até fiz uma reclamação achando que estava faltando o produto. Acho q deveria ter sido avisado para não criar uma nova situação."
"0b97be8b4b408a3a0780a32e0a143a7f",unknown,"7d13fca15225358621be4086e1eb0964",watches,1,118.00,"04082ed3fe3aa0b4af00796e94ead6ba",-11.0,5,"Show de relógio, modelo muito bonito com preço excelente, entrega antes do prazo, recomendo."
"072446c6aa02c85a9a91d6a75116def5",organic_search,cbf09e831b0c11f6f23ffb51004db972,household_utilities,1,519.00,"040ffb806b943aa19e0b176e7746b2b7",-3.0,5,Material entregue corretamente 
"37d92d59a2b02e0256aa1d2bddcfa50d",social,"671585f5a2af58b6e276bc01003c0d2b",household_utilities,1,45.00,"04198c2c90b3fcfaec75a836841dafe2",-8.0,4,Acho que o kit deveria vir com um estojo para colocar os canudos e a escova
"0b97be8b4b408a3a0780a32e0a143a7f",unknown,"7d13fca15225358621be4086e1eb0964",watches,1,230.00,"041e2854aac3d7cc5af940995ac6be0b",-27.0,4,
"327174d3648a2d047e8940d7d15204ca",organic_search,"612170e34b97004b3ba37eae81836b4c",home_appliances,1,49.90,"0475d054d40280dfba750663c9ad7a0a",-13.0,4,
"081c243a74472af67b65145cff5221c7",paid_search,"58f1a6197ed863543e0136bdedb3fce2",fashion_accessories,1,139.00,"047ac23902ffcc68f3106db4f2e4338f",-15.0,5,Produto entregue dentro do prazo.
"7290c4082936311a3295b7c9ca7bda8f",organic_search,"9c1c0c36cd23c20897e473901a8fb149",food_drink,1,99.99,"04836fc7917dc0bfcfbd4456ec4156ac",-23.0,5,Belo serviço ... Produto chegou inteiro ...5 litros de suco de uva bordô...
"3e4a3f9ecab2d513b6782748c9e0a884",organic_search,"9d681c7e12db302cb261e721040dde65",sports_leisure,1,29.90,"04955e4e1efe5837c88f3d4311a94fe7",-12.0,5,
"3e4a3f9ecab2d513b6782748c9e0a884",organic_search,"9d681c7e12db302cb261e721040dde65",sports_leisure,1,139.90,"049ac54eda25ad838a76c65dcfd27c9a",-24.0,5,
"0b97be8b4b408a3a0780a32e0a143a7f",unknown,"7d13fca15225358621be4086e1eb0964",watches,1,128.89,"049c844d7707d97ba1600196919474f4",0.0,,
